id,title_ko,title_en,event_type_ko,event_type_en,date_start,date_end,location_ko,location_en,scale,comment_ko,comment_en,main_image,sub_images,region,display_order,created_at,updated_at,is_international,is_pinned
341,입크페스티벌,IPRC Festival,기타,Other,2023-09-16,2023-09-17,수원월드컵경기장,"Suwon World Cup Stadium, Suwon",대규모,QR 입장권 발급 솔루션을 적용한 대형 야외 페스티벌,Large outdoor festival with QR-based ticketing and entry management solution,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774586833738-c732nmve8q.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774586882314-yvsuigblup.jpg""]",KR,54,2026-03-24 06:16:33.152+00,2026-03-27 04:48:06.753+00,false,false
342,2023년도 동물보건사 연수교육,2023 Veterinary Technician Continuing Education,세미나,Seminar,2023-09-17,2023-09-17,일산 킨텍스,"KINTEX, Goyang",중규모,동물보건사 전문성 향상을 위한 연수 교육 행사,Continuing education event for enhancing veterinary technician expertise,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774500954450-78tjclrzj7w.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774500958207-18ah95m530xi.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774501002825-5ol6k8v62g.jpg""]",KR,55,2026-03-24 06:16:33.152+00,2026-03-26 04:56:53.02+00,false,false
343,HRevolution,HRevolution (HR Innovation Conference),컨퍼런스,Conference,2023-09-20,2023-09-20,더케이호텔 서울,The K Hotel Seoul,중규모,HR 혁신과 미래 인재 경영을 주제로 한 컨퍼런스,Conference focused on HR innovation and future talent management,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774501055978-1fmzjbo6xnw.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774501058137-n8gl6msi4f.jpg""]",KR,56,2026-03-24 06:16:33.152+00,2026-03-26 04:57:41.419+00,false,false
344,The 79th Korean Congress of Radiology (KCR 2023),The 79th Korean Congress of Radiology (KCR 2023),학술대회,Academic Conference,2023-09-20,2023-09-23,서울 코엑스,"COEX, Seoul",대규모,방사선 의학 분야 국내외 전문가들이 참가하는 연례 학술대회,Annual academic conference for domestic and international radiology specialists,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774418595308-ri2c7qvpeye.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774418630350-ntp9ffu9f3.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774418662573-0i2p3phpquon.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774418712138-mktrhzgkeie.jpg""]",KR,57,2026-03-24 06:16:33.152+00,2026-03-25 06:05:15.897+00,true,false
345,KNU 진로·취창업박람회,KNU Career & Startup Expo,박람회,Expo,2023-10-04,2023-10-04,강원대학교 20주년 기념관,"Kangwon National University, Chuncheon",중규모,강원대학교 학생들의 진로와 창업을 지원하는 취창업 박람회,Career and startup fair supporting Kangwon National University students,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774501185220-sgst245rhj.jpeg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774501189159-nzuya6t2zda.jpg""]",KR,58,2026-03-24 06:16:33.152+00,2026-03-26 04:59:53.288+00,false,false
346,2023 World Korean Business Convention,2023 World Korean Business Convention,컨퍼런스,Conference,2023-10-11,2023-10-13,Anaheim Convention Center,"Anaheim Convention Center, CA, USA",대규모,전 세계 한인 기업인들이 미국에서 모이는 글로벌 비즈니스 컨벤션,Global business convention for Korean entrepreneurs held in the United States,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510195614-wve8dtm3z4.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510204424-79wb3pfplw8.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510210068-zxv5pjn0orn.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510217368-x975sz69drc.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510237284-z09nt88e03j.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510240470-d3q18gi0bi.jpeg""]",US,59,2026-03-24 06:16:33.152+00,2026-03-26 07:30:53.905+00,true,false
347,CSI KOREA 2023,CSI Korea 2023 (Customer Service Innovation Korea),컨퍼런스,Conference,2023-10-18,2023-10-20,송도컨벤시아,"Songdo Convensia, Incheon",대규모,고객 서비스 혁신 분야 글로벌 전문가들의 국제 컨퍼런스,International conference for global experts in customer service innovation,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510578879-fjw3d9216mg.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510583437-3gdv1tyxrco.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510587527-ljgvpmfw41d.jpg""]",KR,60,2026-03-24 06:16:33.152+00,2026-03-26 07:38:03.815+00,true,false
348,제20회 대한민국 코칭컨페스티벌,20th Korea Coaching Confestival,기타,Other,2023-10-25,2023-10-25,대한상공회의소,"Korea Chamber of Commerce & Industry, Seoul",중규모,코칭 문화 확산을 위한 제20회 연례 컨페스티벌,20th annual confestival promoting coaching culture in Korea,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774512282566-uczt81txaxk.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774512282921-0de48s4xbkxq.jpeg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774512288045-e4e92pdlbau.jpeg""]",KR,62,2026-03-24 06:16:33.152+00,2026-03-26 08:04:58.992+00,false,false
349,제12회 이데일리 W페스타,12th Edaily W Festa,컨퍼런스,Conference,2023-10-26,2023-10-26,서울 코엑스,"COEX, Seoul",대규모,여성 리더십과 사회 혁신을 주제로 한 이데일리 주최 컨퍼런스,Edaily-hosted conference focused on women's leadership and social innovation,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774511895359-56w1aekdvsv.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774512112690-faznzfuk2gi.jpg""]",KR,63,2026-03-24 06:16:33.152+00,2026-03-26 08:04:16.201+00,false,false
350,ABU 2023 SEOUL,ABU 2023 Seoul (Asia-Pacific Broadcasting Union General Assembly),총회,General Assembly,2023-10-28,2023-11-01,"KBS, 콘래드 호텔 서울",KBS & Conrad Seoul,대규모,아시아·태평양 방송연합 연례 총회 및 관련 행사,Annual general assembly of the Asia-Pacific Broadcasting Union,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774511046963-qyx1h6vq8o.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774511054542-56cxy5xslss.jpg""]",KR,64,2026-03-24 06:16:33.152+00,2026-03-26 07:44:35.175+00,true,false
351,Korea Eureka Day 2023 코리아유레카데이,Korea Eureka Day 2023,컨퍼런스,Conference,2023-10-30,2023-10-30,롯데호텔서울,Lotte Hotel Seoul,중규모,한-유럽 혁신 기술 협력을 위한 국제 컨퍼런스,International conference for Korea-Europe innovation and technology cooperation,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774511269187-car85dbh4hv.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774511292934-yal1q76vzwr.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774511346282-okijxg4rsyo.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774511381229-3tsko6u49an.jpg""]",KR,65,2026-03-24 06:16:33.152+00,2026-03-26 07:49:45.48+00,true,false
352,2023 한국해양학회 추계학술대회,2023 Korean Society of Oceanography Autumn Conference,학술대회,Academic Conference,2023-11-01,2023-11-03,서울대학교 시흥캠퍼스 컨벤션센터,Seoul National University Siheung Campus,중규모,해양 과학 분야 국내 연구자들이 모이는 추계 학술대회,Autumn academic conference for Korean oceanography researchers,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510921861-4rle81mezhx.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510937250-u6yd5iucrss.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510945076-v2tv2333uaj.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774510961568-6koel66neh4.jpg""]",KR,66,2026-03-24 06:16:33.152+00,2026-03-26 07:42:45.486+00,false,false
353,MIDAS SQUARE 24,MIDAS Square 24,기타,Other,2023-11-14,2023-11-16,서울 코엑스,"COEX, Seoul",대규모,미래 산업과 기술 트렌드를 선보이는 복합 전시 행사,Multi-sector exhibition event showcasing future industry and technology trends,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774490114060-32eohge2ns.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774490123832-ism8rtrjv.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774490257878-biuzcj7zd0t.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774490866576-eqc2l42b41b.jpg""]",KR,67,2026-03-24 06:16:33.152+00,2026-03-26 02:07:52.419+00,false,false
354,Edaily IT Convergence Forum,Edaily IT Convergence Forum,포럼,Forum,2023-11-21,2023-11-21,서울 FKI타워,"FKI Tower, Seoul",소규모,IT 융합 산업의 현재와 미래를 논의하는 이데일리 주최 포럼,Edaily-hosted forum discussing the present and future of IT convergence industries,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774489678521-nowaguwqhjr.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774489693915-kkm2sz0yejq.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774489701924-q9lybpu5i6.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774489711085-es8l8mh16us.jpg""]",KR,68,2026-03-24 06:16:33.152+00,2026-03-26 01:48:38.667+00,false,false
355,제31회 고객중심 경영혁신 컨퍼런스,31st Customer-Centric Management Innovation Conference,컨퍼런스,Conference,2023-11-07,2023-11-07,일산 킨텍스,"KINTEX, Goyang",중규모,고객 중심 경영 혁신을 주제로 한 연례 컨퍼런스,Annual conference on customer-centric management innovation,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774489484372-ll9rf9fe0f.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774489556712-wbmnqaw8t8.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774489567280-e9lj3ghw4ra.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774489615671-4g61g22s12k.jpg""]",KR,69,2026-03-24 06:16:33.152+00,2026-03-26 01:47:25.933+00,false,false
356,CTO AI Conference,CTO AI Conference,컨퍼런스,Conference,2023-11-07,2023-11-08,화성 롤링힐스 호텔,"Rolling Hills Hotel, Hwaseong",소규모,AI 기술 전략을 논의하는 CTO 전용 컨퍼런스,Exclusive conference for CTOs discussing AI technology strategy,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420994018-ub518cj4gsr.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774421003115-ymzts9kg91i.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774421027124-hkalkwvuokk.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774421044093-glo49owjk4m.jpg""]",KR,70,2026-03-24 06:16:33.152+00,2026-03-25 07:00:17.781+00,false,false
357,UNWTO 연계 지속가능한 관광 컨퍼런스,UNWTO-Linked Sustainable Tourism Conference,컨퍼런스,Conference,2023-11-16,2023-11-16,소피텔 엠배서더 서울 호텔,Sofitel Ambassador Seoul Hotel,중규모,UN세계관광기구와 연계한 지속가능 관광 국제 컨퍼런스,International sustainable tourism conference linked with UNWTO,,[],KR,71,2026-03-24 06:16:33.152+00,2026-03-24 06:16:33.152+00,true,false
358,2023 강릉 마이스 도시포럼,2023 Gangneung MICE City Forum,포럼,Forum,2023-11-24,2023-11-24,삼척 라카이샌드,"Lakai Sand, Samcheok",소규모,강릉의 MICE 도시 발전 방향을 논의하는 전문가 포럼,Expert forum discussing the direction of Gangneung's MICE city development,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420708471-ve2rmgoclo.bmp,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420725221-96402okznhm.bmp"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420739144-nh6auzpr2.bmp"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420756878-tusrwksk5ks.bmp""]",KR,72,2026-03-24 06:16:33.152+00,2026-03-25 06:39:22.364+00,false,false
359,수원뷰티페스타 2023,Suwon Beauty Festa 2023,박람회,Expo,2023-11-24,2023-11-26,수원컨벤션센터,"Suwon Convention Center, Suwon",대규모,뷰티 산업 브랜드와 소비자가 만나는 대형 뷰티 박람회,Large-scale beauty expo connecting beauty brands with consumers,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420068943-ted9cq37ovq.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420079641-t3lkuucn85l.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420102996-3k6qs39ixuo.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774420142516-1r2cct1gh9n.jpg""]",KR,73,2026-03-24 06:16:33.152+00,2026-03-25 06:29:06.619+00,false,false
360,마이스人 쇼,MICE People Show,컨퍼런스,Conference,2023-11-23,2023-11-23,인천 파라다이스시티 호텔,"Paradise City Hotel, Incheon",중규모,MICE 업계 종사자들의 네트워킹과 정보 교류를 위한 연례 행사,Annual event for MICE industry professionals to network and share insights,,[],KR,74,2026-03-24 06:16:33.152+00,2026-03-24 06:16:33.152+00,false,false
361,대한민국여성과학기술인대회,Korea Women Scientists & Engineers Conference,컨퍼런스,Conference,2023-11-23,2023-11-23,서울 한국과학기술회관,"Korea Science and Technology Hall, Seoul",중규모,여성 과학기술인의 역량 강화와 네트워킹을 위한 연례 대회,Annual conference empowering women in science and engineering in Korea,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419569874-4eahm54u9p6.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419590457-kzpikuiresr.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419625394-01psj72zl8dc.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419654962-avxjinsrhz7.jpg""]",KR,75,2026-03-24 06:16:33.152+00,2026-03-25 06:20:59.875+00,false,false
362,2023 해양수산과학기술주간,"2023 Marine, Fisheries Science & Technology Week",기타,Other,2023-12-19,2023-12-21,서울 코엑스,"COEX, Seoul",대규모,해양수산 과학기술의 성과를 공유하는 정부 주관 기술주간,Government-organized technology week showcasing marine and fisheries science achievements,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774418910866-8tbi0omx7f6.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774418921445-45pojjz13et.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774418932755-79hr8tm9bib.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774418945750-4cnc7r58mb3.jpg""]",KR,76,2026-03-24 06:16:33.152+00,2026-03-25 06:09:09.812+00,false,false
363,KOREA MICE EXPO 2023,Korea MICE Expo 2023,박람회,Expo,2023-11-16,2023-11-17,송도 컨벤시아,"Songdo Convensia, Incheon",대규모,국내 MICE 산업의 최신 트렌드를 한눈에 볼 수 있는 연례 엑스포,Annual expo showcasing the latest trends in Korea's MICE industry,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774491217945-j4qctxy8m5b.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774491230614-y7umo24fsas.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774491259138-laanwg4a2d.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774491290675-eea4dz2v8zd.jpg""]",KR,77,2026-03-24 06:16:33.152+00,2026-03-26 02:14:55.357+00,false,false
364,2023 관광두레 전국대회 「이음두레」,2023 Tourism Dure National Convention 'Eeum Dure',컨퍼런스,Conference,2023-11-17,2023-11-17,서울 드래곤시티,Seoul Dragon City Hotel,중규모,지역 관광 공동체 활성화를 위한 문화체육관광부 주관 전국 대회,Ministry of Culture-sponsored national convention for local tourism community development,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774572971763-ootb18ranxf.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774572973899-f4n6swo0opi.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774572976892-rzcg2ge2c1.jpg""]",KR,78,2026-03-24 06:16:33.152+00,2026-03-27 00:57:10.912+00,false,false
365,제3차 K-퀀텀스퀘어미팅,3rd K-Quantum Square Meeting,컨퍼런스,Conference,2024-01-10,2024-01-10,JW메리어트호텔,JW Marriott Hotel Seoul,소규모,국내 양자 기술 연구자와 산업계가 참여하는 정기 미팅,Regular meeting for quantum technology researchers and industry stakeholders in Korea,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774586251167-ypcgawfxwq.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774586319643-uir0yy3ed5.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774586330437-l8bqzd15i3e.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774586358714-xu00xor3n.jpg""]",KR,79,2026-03-24 06:16:33.152+00,2026-03-27 04:39:24.431+00,false,false
392,2023 KSP Dissemination Conference,,,,2023-09-11,,,,,,,,[],KR,0,2026-03-25 01:55:37.264926+00,2026-03-27 04:57:39.036+00,false,false
422,CCC(Creators Community Club),,,,2022-07-28,2022-08-27,,,,,,https://fairpass.world/data/file/portfolio/f25454840f7fc521405640e92a446028_aFA1ZK3e_688cf35b647c60f174ccb62b7110327c68b59ecd.jpg,[],KR,0,2026-03-25 01:55:52.487567+00,2026-03-25 01:55:52.353+00,false,false
